iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3498955.3387781125,2.915796115648427,-2.9157959238216016,-2.9157569384793605
1,55900.15343241295,0.04658346119367746,-0.04557381353147444,-0.05358966234444708
2,-710127.3617106667,-0.5917728014255556,0.6371662553926459,0.6190729769469848
3,-819107.1375182148,-0.6825892812651789,0.7351100591332278,0.7143008404847745
4,-851325.8540756229,-0.7094382117296857,0.7638645512502799,0.739832252382048
5,-866318.5870460931,-0.7219321558717442,0.7776009217337453,0.7534373937297548
6,-874638.6416016435,-0.7288655346680363,0.7852874775601526,0.7607854372758696
7,-881758.3591628638,-0.7347986326357199,0.792046110668184,0.7676969566036445
8,-885405.5854465824,-0.737837987872152,0.7955057417022848,0.7712425778686299
9,-890059.0081415364,-0.741715840117947,0.7997738405055151,0.7752601756259746
10,-894703.4752386081,-0.7455862293655068,0.8039427603965904,0.7790034822501734
11,-898607.0611568377,-0.7488392176306982,0.8073327371384159,0.7819452568356947
12,-902242.8129037445,-0.7518690107531204,0.8104664077339017,0.7849891692229023
13,-905085.653122074,-0.754238044268395,0.8129553084154341,0.7873078510836766
14,-908307.1786106494,-0.7569226488422078,0.8159243306861224,0.7897283054247043
15,-911280.6481361319,-0.7594005401134433,0.8188841559751163,0.7926334280823819
16,-913209.2659804559,-0.7610077216503799,0.8207095086071841,0.7945314818992193
17,-914696.8173086196,-0.7622473477571831,0.822006935197549,0.7960891894753261
18,-916797.8519029778,-0.7639982099191481,0.8238724814503305,0.7984377176980901
19,-919298.4818668229,-0.7660820682223525,0.8262192661035407,0.8009867977148601
20,-921356.4600769149,-0.7677970500640957,0.8280747010304501,0.8030454076717989
