iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3508288.2021753676,2.923573501812806,-2.9235734538066542,-2.9235691970928492
1,171485.05725934074,0.14290421438278395,-0.14223303314256544,-0.20065046622165783
2,-354813.8676898091,-0.29567822307484093,0.3132074130599451,0.27865142983197366
3,-449141.459955159,-0.3742845499626325,0.41165350521994143,0.3804532832915312
4,-466143.37403428875,-0.3884528116952406,0.42619493626270344,0.3968296055143755
5,-493960.7468501174,-0.41163395570843114,0.44993031239309544,0.4236640256190491
6,-541916.8344312904,-0.4515973620260753,0.4909676372345212,0.4672445216003495
7,-597837.7245312172,-0.49819810377601437,0.5395067424349594,0.5215309357975396
8,-632023.8263030233,-0.5266865219191861,0.569615475224279,0.5542200985996433
9,-667477.0030251396,-0.556230835854283,0.6041602431824011,0.5854327839763388
10,-671462.4823351359,-0.5595520686126133,0.6077870438283675,0.5880863957516723
11,-672692.8843156223,-0.5605774035963519,0.6089669742799522,0.5902979102823188
12,-673201.4944869537,-0.5610012454057948,0.6094411722037999,0.5904315473184384
13,-673637.7773915253,-0.5613648144929377,0.6097947004244726,0.5907488914078418
14,-673730.177978916,-0.56144181498243,0.6098497133384618,0.5909427300703741
15,-673819.0626447367,-0.5615158855372806,0.6099083494109296,0.5913745290555362
16,-673820.2510427821,-0.5615168758689851,0.6099037594666963,0.5913791186576455
17,-673820.802441707,-0.5615173353680891,0.6098984409351025,0.5913641680561549
18,-673820.80937516,-0.5615173411459667,0.6098977536677181,0.5913623439096309
19,-673820.8093808556,-0.5615173411507131,0.6098977379055138,0.5913623222830525
