iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3490263.903418389,2.9085532528486575,-2.9085530610825945,-2.90861993759936
1,107005.37170243195,0.08917114308535996,-0.08833410779779874,-0.08975103960742616
2,-609911.9464533544,-0.5082599553777953,0.5485254501174412,0.5390805771526874
3,-747719.7289890675,-0.6230997741575562,0.6739350032591467,0.6587824487880748
4,-810294.017045757,-0.6752450142047975,0.7272263136184285,0.7080985034118977
5,-843156.4678634608,-0.7026303898862173,0.7559629652691894,0.7346607875254925
6,-862721.2011501068,-0.7189343342917557,0.7735908638114694,0.7486931647301158
7,-872974.3431395696,-0.7274786192829746,0.7828005781397336,0.7562192918265027
8,-880492.1991770688,-0.733743499314224,0.7895539308359414,0.762150127067219
9,-885327.0702759499,-0.7377725585632916,0.7938339252472247,0.7655641617174247
10,-890015.3619537477,-0.7416794682947897,0.7979918592153976,0.7693278989530267
11,-895854.9004008968,-0.7465457503340807,0.8031479870550443,0.7735736168574869
12,-899356.8690111015,-0.7494640575092513,0.8062575636596926,0.7765193912898575
13,-900961.7038289357,-0.7508014198574464,0.8078068128074634,0.7776470186674632
14,-902900.8826269922,-0.7524174021891602,0.8095931140849558,0.7788968193475473
15,-903673.6761083833,-0.7530613967569861,0.8103398211681606,0.7793201798074312
16,-904632.8540628187,-0.7538607117190156,0.8112926562383652,0.779773555191951
17,-906243.5702549248,-0.7552029752124374,0.8129945341185676,0.7815766563167325
18,-906685.74401038,-0.7555714533419834,0.8133814807007514,0.7819009570875964
19,-906924.995728451,-0.7557708297737091,0.8136279908195941,0.7817608806262808
20,-907027.0147148329,-0.7558558455956941,0.813715577842023,0.7816530093130275
