iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3502631.7565775285,2.9188597971479404,-2.9188597491727917,-2.918845045710297
1,171215.68165934918,0.14267973471612433,-0.14223957526146996,-0.17347308868656128
2,-116846.9857909235,-0.09737248815910292,0.10558419900153189,0.04144555417832753
3,-177599.70144562467,-0.14799975120468722,0.15791521212602647,0.08501132739280948
4,-283244.6326982066,-0.23603719391517214,0.2496931965314713,0.12464425593063497
5,-373629.6038489518,-0.3113580032074598,0.33046580456521,0.21284568124068734
6,-468346.7126534033,-0.3902889272111694,0.41456836498945215,0.28826069590159015
7,-530168.3087171572,-0.4418069239309644,0.47261310354461794,0.3771564161983709
8,-565154.3598131521,-0.4709619665109601,0.5051398454480233,0.4069528079617752
9,-597548.4618510563,-0.49795705154254694,0.5370192275046427,0.43186546779580837
10,-608581.2119275082,-0.5071510099395902,0.5477609449624833,0.4394400760213348
11,-616270.2088212078,-0.5135585073510065,0.5552283808103765,0.4443907172997115
12,-619379.2209286486,-0.5161493507738738,0.5582510764202367,0.4504611553626226
13,-620837.8713883937,-0.5173648928236614,0.5597374345241884,0.4571836032562089
14,-621334.462729255,-0.5177787189410458,0.5603136097409553,0.461550698046634
15,-621740.9303546962,-0.5181174419622468,0.560740220516966,0.4654994624029139
16,-621960.8700096819,-0.5183007250080682,0.5609266213370507,0.4669617130594743
17,-621996.9806722985,-0.5183308172269154,0.560982368039554,0.4682677151693206
18,-622068.0501352352,-0.5183900417793627,0.5610582866700502,0.4694451386876813
19,-622079.0390782326,-0.5183991992318605,0.5610896052615911,0.46965617821264505
20,-622086.3369494654,-0.5184052807912212,0.561115665675708,0.4697781389592605
