iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3497911.1054098755,2.914925921174896,-2.914925825230504,-2.914871490021745
1,139174.10285677417,0.1159784190473118,-0.11547902766290435,-0.12195558823473461
2,-562424.9109253575,-0.46868742577113126,0.5027609471128682,0.48887619193677684
3,-675786.3287145233,-0.5631552739287694,0.6113737090884643,0.5969879037347094
4,-742385.9736897803,-0.618654978074817,0.6687838619493875,0.6547349085336281
5,-779581.7811339411,-0.6496514842782842,0.7006966413677138,0.686121239219609
6,-791107.4691055719,-0.6592562242546433,0.7112858131196134,0.6962664906876251
7,-797244.9384386229,-0.6643707820321857,0.7168366526442053,0.7014736015827134
8,-804240.341488727,-0.6702002845739392,0.7234254351379006,0.7070453138901299
9,-808152.549751345,-0.6734604581261208,0.7274176080468153,0.7112222084701333
10,-809426.0918848158,-0.6745217432373465,0.7285227781717097,0.7124057193619614
11,-810710.4433305727,-0.6755920361088106,0.7297448040022534,0.7129775263781659
12,-811886.8084482481,-0.6765723403735401,0.7308734182647167,0.7138030744704169
13,-812498.4015180073,-0.6770820012650061,0.7315312748146906,0.713945735053724
14,-812945.9404401152,-0.6774549503667626,0.7320426863434412,0.714142579547568
15,-813601.9412576916,-0.678001617714743,0.7326883564967058,0.7141033922072384
16,-814032.6826292309,-0.6783605688576925,0.7330803642518054,0.7142517474214435
17,-814685.7271043316,-0.678904772586943,0.7336704552930117,0.7138929299931511
18,-814917.4751613527,-0.6790978959677939,0.7338787162210088,0.7135287674320968
19,-815015.6205548369,-0.6791796837956975,0.7339603786088751,0.7133988102542308
20,-815039.0925486336,-0.679199243790528,0.7339833514473714,0.7135102463762931
