iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3490786.2300349725,2.9089885250291436,-2.90898842911846,-2.908940371305764
1,122511.1985871329,0.10209266548927741,-0.10169749701766363,-0.10589562804881324
2,-545150.0333641141,-0.4542916944700951,0.48827173399919915,0.47029314780580667
3,-675324.2090116107,-0.5627701741763422,0.6111485011736102,0.5927401423653642
4,-719723.312956831,-0.5997694274640258,0.6500924726570704,0.6297312345681306
5,-739731.5253521991,-0.6164429377934992,0.6676279084281094,0.6475966822695298
6,-757975.016512187,-0.6316458470934891,0.6832592582135649,0.6629284375522086
7,-774815.2800415681,-0.6456794000346401,0.6977274583047259,0.6788750222878077
8,-789467.3039973543,-0.6578894199977953,0.7104859898647355,0.6938635492165257
9,-799689.0431439619,-0.6664075359533016,0.7196013946173778,0.7033907360846507
10,-804250.5491049144,-0.670208790920762,0.7236214478337165,0.7062938002069573
11,-806711.9626228025,-0.6722599688523354,0.7257932713447133,0.7079191072607166
12,-812394.3313666367,-0.6769952761388639,0.731641550909688,0.7132122671778887
13,-817549.484080518,-0.681291236733765,0.7369523749454998,0.7186057027055484
14,-819565.257068688,-0.68297104755724,0.7390934452710817,0.7204148023048682
15,-819993.5995905518,-0.6833279996587932,0.7395259519804496,0.721034252600188
16,-820563.8893962638,-0.6838032411635532,0.7400586621804268,0.7213275001693156
17,-821146.3343765975,-0.684288611980498,0.7405683772632992,0.7216709174220848
18,-821528.0085374496,-0.684606673781208,0.7410197621200177,0.7219142839569768
19,-821886.0521602404,-0.684905043466867,0.7413412089317953,0.7223636843270211
20,-822303.833121311,-0.6852531942677592,0.7417438220181313,0.7224504962500872
