iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495440.828192711,2.912867356827259,-2.912867260877656,-2.9129049349065164
1,144653.08747571273,0.12054423956309394,-0.12009457455074436,-0.1232258603142135
2,-484637.69162512966,-0.4038647430209414,0.43900953126997666,0.42458341535834826
3,-589413.862390022,-0.4911782186583517,0.5390196012774382,0.5262168322747248
4,-657785.4822320504,-0.5481545685267086,0.5967478349488793,0.5874481760333166
5,-714103.7782709949,-0.5950864818924958,0.6447033508660635,0.6382834416171489
6,-746492.2691337,-0.62207689094475,0.6726011337201513,0.6637064554160678
7,-762494.8641395601,-0.6354123867829667,0.6867276973008308,0.675636262133184
8,-768311.7390524116,-0.6402597825436763,0.6918424524584691,0.6796227247499561
9,-771039.2342631586,-0.6425326952192989,0.6942683438332906,0.6809846288192418
10,-772961.1241911369,-0.6441342701592807,0.696024461935825,0.6823637440535384
11,-773927.8038003801,-0.6449398365003167,0.6969086922377724,0.6827407681426798
12,-774168.098211696,-0.64514008184308,0.6971114877680252,0.6824061113874147
13,-774350.4303227321,-0.6452920252689434,0.6972940247979752,0.6824322917110165
14,-774390.2575911123,-0.6453252146592602,0.6973574379823942,0.6824900819687099
15,-774460.9188334281,-0.6453840990278568,0.6974142818684114,0.6824768350639585
16,-774558.0522624495,-0.6454650435520413,0.6974970427674263,0.6824659885435488
17,-774696.4071952186,-0.6455803393293489,0.6976238167259242,0.68228971263085
18,-774743.5877452014,-0.6456196564543345,0.6976469148261158,0.6821721167098791
19,-774745.7817610177,-0.6456214848008481,0.697644984180883,0.6821241416537367
20,-774745.9473179695,-0.6456216227649746,0.6976457879822922,0.6821168541630719
